"Cg"||"C"|||64|66|69|91|91|152|25|25|61|0|0|0|0|0|0|95|96|100|89|93|100|85|91|100|79|85|96|8|10|15|0.1|0.7|0.9|0.4|1.1|1.3|1|1.6|1.7|2.5|3.2|4.3|2.7|3.4|9.2|52|55|56|20|20|22|30|35|35|30|35|40|0|0|0|0.5|1.25|2||||1.37|1.4|1.42||||1.54|1.57|1.62||4.23|9|14.11|0.19|0.2|0.21||||29.1|32|35.9|16.5|20.5|25.5|36|40|46|2.7|3.6|4.7|41|47|54|21|25|29|16|22|32|".32"|".32"|0|0|0|0|0|0|1|3|5|0|0|0|10.6|12.5|14.4||||6.1|11.2|14|6.1|6.4|7.3||||||||||1|5.9|8.7|0|0|0||||||||||||||||||"26150230"|"78109047"
"Bg1"||"B"||1|30|33|35|43|46|51|10|13|18|0|0|0|0|0|0|100|100|100|100|100|100|96|99|100|89|94|97|5|8.3|15|0.1|0.3|0.4|0.4|0.5|0.5|0.8|0.9|1|1.6|2.6|4.3|1.7|4|9.2|48.5|53.7|57|20|20|22|30|33.7|35|30|38|40|0|0|0|2|4|6||||1.14|1.23|1.31||||1.31|1.4|1.42||1.41|7|14|0.15|0.16|0.17||||30.8|34.2|35.7|16.5|22.3|25.2|46|50|53|2.9|4.4|4.7|45|57|63|21|26|28|20|29|34|".24"|".24"|0|0|0|0|0|0|1|3|5|0|0|0|10.9|13.9|14.7||||2.5|11.1|14.3|4.5|6.5|6.5||||||||||5.8|7.3|19.4|0|0|0||||||||||||||||||"26150230"|"78109045"
"Bg2"||"B"||2|43|46|51|64|66|69|18|20|23|0|0|0|0|0|0|94|96|100|88|92|100|83|88|99|73|78|89|15|18.5|19|0.2|1.3|1.6|0.5|2|2.3|1.3|2.9|3.2|4.7|5.9|8.5|5.2|6.4|11.5|41|44|47|20|20|22|20|24|25|35|37.5|40|0|0|0|0.8|2.4|4||||1.26|1.31|1.36||||1.44|1.49|1.51||4.23|9|14.11|0.18|0.18|0.21||||30.6|33.1|36.7|18.9|22.5|27.1|37|41|46|3.5|4.1|4.7|42|52|58|21|25|28|14|21|29|".28"|".28"|0|0|0|0|0|0|1|3|5|0|0|0|12.4|13.6|14.6||||6.1|11.6|14.6|6.1|6.6|7.3||||||||||1.2|6|9.6|0|0|0||||||||||||||||||"26150230"|"78109046"
"H1"||"H"||1||0|||43|||||0|0|0|0|3|5|90|95|100|90|95|100|85|92.5|100|85|92.5|100||3|||0|||0|||0|||0.7|||2.3|||42||||||||50|55|60||0||1|2|3||||1.1|1.2|1.3||||1.28|1.38|1.43||4.23|9|14|0.13|0.14|0.15||||30.6|33.4|36.2|24.5|28.7|33.2|44|49|55|3|4.5|5.9|65|70|75|30|35|40|30|39|49|".17"|".17"|0|0|0|0|0|0||||0|0|0|32.7|38.2|42.8|||||||6.1|6.3|6.5|||||||||||||||||||||||||||||||||"26150110"|"78108697"
"H2"||"H"||2||43|||165|||||0|0|0|0|3|5|90|95|100|90|95|100|85|92.5|100|85|92.5|100||3|||0|||0|||0|||0.7|||2.3|||42||||||||50|55|60||0||0.75|1|2||||1.1|1.2|1.3||||1.28|1.38|1.43||4.23|9|14|0.13|0.14|0.15||||30.5|33|35.8|24.2|27.8|32.3|44|49|55|3|4.5|5.9|65|70|75|30|35|40|30|39|49|".17"|".17"|0|0|0|0|0|0||||0|0|0|31.7|35.3|40.9|||||||6.6|7|7.3|||||||||||||||||||||||||||||||||"26150110"|"78108698"
"Bg1"||"B"||1|30|33|35|43|46|51|10|13|18|0|0|0|0|0|0|100|100|100|100|100|100|96|99|100|91|94|100|5|8.3|15|0.1|0.3|0.4|0.4|0.5|0.5|0.8|0.9|1|1.6|2.6|4.3|1.7|4|9.2|48.5|53.7|57|20|20|22|30|33.7|35|30|38|40|0|0|0|2|4|6||||1.14|1.23|1.31||||1.31|1.4|1.42||1.41|7|14|0.15|0.16|0.17||||30.8|34.2|35.7|16.5|22.3|25.2|46|50|53|3.1|4.4|5|45|57|63|21|26|28|21|29|36|".17"|".17"|0|0|0|0|0|0|1|3|5|0|0|0|10.9|13.9|14.7||||2.5|11.1|14.3|4.5|6.5|6.5||||||||||5.8|7.3|19.4|0|0|0||||||||||||||||||"26150231"|"78109051"
"Bg2"||"B"||2|43|46|51|64|66|69|18|20|23|0|0|0|0|0|0|93|95|100|86|90|100|80|86|98|71|77|88|15|18.5|19|0.2|1.3|1.6|0.5|2|2.3|1.3|2.9|3.2|4.7|5.9|8.5|5.2|6.4|11.5|41|44|47|20|20|22|20|24|25|35|37.5|40|0|0|0|0.8|2.4|4||||1.26|1.31|1.36||||1.44|1.49|1.51||4.23|9|14.11|0.18|0.18|0.21||||30.6|33.1|36.7|18.9|22.5|27.1|37|41|46|3.5|4.1|4.7|42|52|58|21|25|28|14|20|29|".17"|".17"|0|0|0|0|0|0|1|3|5|0|0|0|12.4|13.6|14.6||||6.1|11.6|14.6|6.1|6.6|7.3||||||||||1.2|6|9.6|0|0|0||||||||||||||||||"26150231"|"78109052"
"Cg"||"C"|||64|66|69|91|91|152|25|25|61|0|0|0|0|0|0|93|95|100|86|90|100|84|88|100|79|83|97|8|10|15|0.1|0.7|0.9|0.4|1.1|1.3|1|1.6|1.7|2.5|3.2|4.3|2.7|3.4|9.2|52|55|56|20|20|22|30|35|35|30|35|40|0|0|0|0.5|1.25|2||||1.37|1.4|1.42||||1.54|1.57|1.62||4.23|9|14.11|0.19|0.2|0.21||||29.1|32|35.9|16.5|20.5|25.5|36|40|46|2.9|3.6|4.7|41|47|54|21|25|29|16|21|32|".17"|".17"|0|0|0|0|0|0|1|3|5|0|0|0|10.6|12.5|14.4||||6.1|11.2|14|6.1|6.4|7.3||||||||||1|5.9|8.7|0|0|0||||||||||||||||||"26150231"|"78109053"
"Apg"||"A"|||0|0|0|10|15|15|10|15|15|0|0|0|0|0|0|94|96|100|88|92|100|87|92|100|79|91|100|5|8|15|0.2|0.3|0.5|0.3|0.5|0.9|0.6|0.9|1.7|1.6|2.5|4.7|2.3|3.8|7.2|40|46|55|20|20|22|22|26|35|40|46|50|0|0|0|5|8|10||||1.18|1.23|1.31||||1.41|1.46|1.51||1.41|7|14|0.19|0.19|0.21||||30.2|33.5|36.4|23.1|28.8|33.5|45|48|52|4.6|5.6|6.7|58|72|85|28|35|42|24|39|55|".17"|".17"|0|0|0|0|0|0|1|3|5|0|0|0||||6.7|7.9|8.8|1.6|2.5|7.1|4.5|4.8|6.5||||||||||16.3|25.8|31|0|1.5|3||||||||||||||||||"26150231"|"78109048"
"Ag1"||"A"||1|10|15|15|23|25|28|8|10|13|0|0|0|0|0|0|100|100|100|100|100|100|96|99|100|91|94|100|5|8|15|0.2|0.3|0.5|0.3|0.5|0.9|0.6|0.9|1.7|1.6|2.5|4.7|2.3|3.8|7.2|40|46|55|20|20|22|22|26|35|40|46|50|0|0|0|2|4|6||||1.13|1.27|1.4||||1.24|1.38|1.51||1.41|7|14|0.15|0.16|0.17||||31|33.6|35.5|22.6|27.6|31.5|41|49|56|2.3|2.8|3.3|53|67|80|28|36|43|29|40|54|".17"|".17"|0|0|0|0|0|0|1|3|5|0|0|0||||6.9|8.2|9.3|2|4.5|6|4.5|5.2|6.5||||||||||11.1|18|24|0|1.5|3||||||||||||||||||"26150231"|"78109049"
"Ag2"||"A"||2|23|25|28|30|33|35|5|8|10|0|0|0|0|0|0|100|100|100|100|100|100|96|99|100|91|94|100|5|8|15|0.2|0.3|0.5|0.3|0.5|0.9|0.6|0.9|1.7|1.6|2.5|4.7|2.3|3.8|7.2|40|46|55|20|20|22|22|26|35|40|46|50|0|0|0|2|4|6||||1.13|1.27|1.4||||1.24|1.38|1.51||1.41|7|14|0.15|0.16|0.17||||31|33.6|35.5|22.6|27.6|31.5|41|49|56|2.3|2.8|3.3|53|67|80|28|36|43|29|40|54|".17"|".17"|0|0|0|0|0|0|1|3|5|0|0|0||||6.9|8.2|9.3|2|4.5|6|4.5|5.2|6.5||||||||||11.1|18|24|0|1.5|3||||||||||||||||||"26150231"|"78109050"
